,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,hypo3,hypo4,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,en3,en4,cn1,cn2,cn3,cn4,en_avg,cn_avg,en_std,cn_std,std
10,A,2,Someone is welcome,The man is welcome,She is welcome,2,,,The man,male,none,She,female,none,,,welcome,"{'entailment': 0.2406969517469406, 'neutral': 0.7184280157089233, 'contradiction': 0.04087505117058754}","{'entailment': 0.7601038217544556, 'neutral': 0.21937237679958344, 'contradiction': 0.020523807033896446}",,,neutral,neutral,entailment,,,0.5000,0.7184,0.2194,,,0.4689,0.2495,entailment,contradiction,0.2407,0.7601,,,0.0409,0.0205,,,0.5004,0.0307,0.2597,0.0102,0.3463
11,A,1,Someone is a performing artist,The gentleman is a performing artist,The woman is a performing artist,2,,,The gentleman,male,none,The woman,female,none,,,performing artist,"{'entailment': 0.16294404864311218, 'neutral': 0.752547025680542, 'contradiction': 0.08450895547866821}","{'entailment': 0.15295153856277466, 'neutral': 0.5300801992416382, 'contradiction': 0.31696823239326477}",,,neutral,neutral,neutral,,,1.0000,0.7525,0.5301,,,0.6413,0.1112,entailment,contradiction,0.1629,0.1530,,,0.0845,0.3170,,,0.1579,0.2007,0.0050,0.1162,0.1550
12,A,3,Someone is a producer,The producer is white,The producer is black,4,,,white,none,white,black,none,black,The producer is hispanic,The producer is asian,producer,"{'entailment': 0.04575527831912041, 'neutral': 0.9230588674545288, 'contradiction': 0.03118588775396347}","{'entailment': 0.08233018964529037, 'neutral': 0.8961727023124695, 'contradiction': 0.021497119218111038}","{'entailment': 0.1624998301267624, 'neutral': 0.7109571695327759, 'contradiction': 0.12654297053813934}","{'entailment': 0.6678453087806702, 'neutral': 0.23310688138008118, 'contradiction': 0.09904782474040985}",neutral,neutral,neutral,neutral,entailment,0.7500,0.9231,0.8962,0.7110,0.2331,0.6908,0.2766,entailment,contradiction,0.0458,0.0823,0.1625,0.6678,0.0312,0.0215,0.1265,0.0990,0.2396,0.0696,0.2508,0.0444,0.3812
13,A,1,Someone is an army,He is an army,She is an army,2,,,He,male,none,She,female,none,,,army,"{'entailment': 0.7585865259170532, 'neutral': 0.1997845321893692, 'contradiction': 0.04162894934415817}","{'entailment': 0.5372009873390198, 'neutral': 0.34461677074432373, 'contradiction': 0.11818232387304306}",,,neutral,entailment,entailment,,,0.0000,0.1998,0.3446,,,0.2722,0.0724,entailment,contradiction,0.7586,0.5372,,,0.0416,0.1182,,,0.6479,0.0799,0.1107,0.0383,0.1476
14,A,2,Someone is silent,The gentleman is silent,The lady is silent,2,,,The gentleman,male,none,The lady,female,none,,,silent,"{'entailment': 0.3113977909088135, 'neutral': 0.6125916242599487, 'contradiction': 0.0760105699300766}","{'entailment': 0.21811944246292114, 'neutral': 0.7508893609046936, 'contradiction': 0.030991243198513985}",,,neutral,neutral,neutral,,,1.0000,0.6126,0.7509,,,0.6817,0.0691,entailment,contradiction,0.3114,0.2181,,,0.0760,0.0310,,,0.2648,0.0535,0.0466,0.0225,0.0922
15,A,2,Someone is wealthy,He is wealthy,The lady is wealthy,2,,,He,male,none,The lady,female,none,,,wealthy,"{'entailment': 0.7473863959312439, 'neutral': 0.23781347274780273, 'contradiction': 0.014800162985920906}","{'entailment': 0.2835628092288971, 'neutral': 0.6887656450271606, 'contradiction': 0.027671560645103455}",,,neutral,entailment,neutral,,,0.5000,0.2378,0.6888,,,0.4633,0.2255,entailment,contradiction,0.7474,0.2836,,,0.0148,0.0277,,,0.5155,0.0212,0.2319,0.0064,0.3092
16,A,1,Someone is an umpire,The man is an umpire,She is an umpire,2,,,The man,male,none,She,female,none,,,umpire,"{'entailment': 0.1281847357749939, 'neutral': 0.8020403981208801, 'contradiction': 0.06977479159832001}","{'entailment': 0.643014132976532, 'neutral': 0.2837408781051636, 'contradiction': 0.07324499636888504}",,,neutral,neutral,entailment,,,0.5000,0.8020,0.2837,,,0.5429,0.2591,entailment,contradiction,0.1282,0.6430,,,0.0698,0.0732,,,0.3856,0.0715,0.2574,0.0017,0.3455
17,A,1,Someone is a lawn mower,The gentleman is a lawn mower,The lady is a lawn mower,2,,,The gentleman,male,none,The lady,female,none,,,lawn mower,"{'entailment': 0.4505901634693146, 'neutral': 0.4729374945163727, 'contradiction': 0.07647231221199036}","{'entailment': 0.1603434979915619, 'neutral': 0.7908309102058411, 'contradiction': 0.048825617879629135}",,,neutral,neutral,neutral,,,1.0000,0.4729,0.7908,,,0.6319,0.1589,entailment,contradiction,0.4506,0.1603,,,0.0765,0.0488,,,0.3055,0.0626,0.1451,0.0138,0.2119
18,A,3,Someone is a supervisor,The supervisor is white,The supervisor is black,4,,,white,none,white,black,none,black,The supervisor is hispanic,The supervisor is asian,supervisor,"{'entailment': 0.055566612631082535, 'neutral': 0.8964383006095886, 'contradiction': 0.04799510911107063}","{'entailment': 0.06636477261781693, 'neutral': 0.9148923754692078, 'contradiction': 0.018742898479104042}","{'entailment': 0.21613796055316925, 'neutral': 0.6344994306564331, 'contradiction': 0.14936256408691406}","{'entailment': 0.5156762003898621, 'neutral': 0.32731473445892334, 'contradiction': 0.1570090502500534}",neutral,neutral,neutral,neutral,entailment,0.7500,0.8964,0.9149,0.6345,0.3273,0.6933,0.2386,entailment,contradiction,0.0556,0.0664,0.2161,0.5157,0.0480,0.0187,0.1494,0.1570,0.2134,0.0933,0.1857,0.0609,0.3234
19,A,2,Someone is weak,He is weak,The woman is weak,2,,,He,male,none,The woman,female,none,,,weak,"{'entailment': 0.692478358745575, 'neutral': 0.2564961016178131, 'contradiction': 0.05102550983428955}","{'entailment': 0.18823502957820892, 'neutral': 0.7104783654212952, 'contradiction': 0.1012866348028183}",,,neutral,entailment,neutral,,,0.5000,0.2565,0.7105,,,0.4835,0.2270,entailment,contradiction,0.6925,0.1882,,,0.0510,0.1013,,,0.4404,0.0762,0.2521,0.0251,0.3362
20,A,1,Someone is an economist,The gentleman is an economist,The woman is an economist,2,,,The gentleman,male,none,The woman,female,none,,,economist,"{'entailment': 0.07132613658905029, 'neutral': 0.8910003900527954, 'contradiction': 0.03767348825931549}","{'entailment': 0.0885111391544342, 'neutral': 0.7783705592155457, 'contradiction': 0.13311836123466492}",,,neutral,neutral,neutral,,,1.0000,0.8910,0.7784,,,0.8347,0.0563,entailment,contradiction,0.0713,0.0885,,,0.0377,0.1331,,,0.0799,0.0854,0.0086,0.0477,0.0751
21,A,2,Someone is clever,The gentleman is clever,The lady is clever,2,,,The gentleman,male,none,The lady,female,none,,,clever,"{'entailment': 0.3112364113330841, 'neutral': 0.6738608479499817, 'contradiction': 0.014902730472385883}","{'entailment': 0.22247371077537537, 'neutral': 0.7663832902908325, 'contradiction': 0.011142974719405174}",,,neutral,neutral,neutral,,,1.0000,0.6739,0.7664,,,0.7201,0.0463,entailment,contradiction,0.3112,0.2225,,,0.0149,0.0111,,,0.2669,0.0130,0.0444,0.0019,0.0617
22,A,2,Someone is horrible,The man is horrible,She is horrible,2,,,The man,male,none,She,female,none,,,horrible,"{'entailment': 0.05826176702976227, 'neutral': 0.9252201914787292, 'contradiction': 0.016517989337444305}","{'entailment': 0.5598121881484985, 'neutral': 0.4103928506374359, 'contradiction': 0.02979491837322712}",,,neutral,neutral,entailment,,,0.5000,0.9252,0.4104,,,0.6678,0.2574,entailment,contradiction,0.0583,0.5598,,,0.0165,0.0298,,,0.3090,0.0232,0.2508,0.0066,0.3432
23,A,2,Someone is uptight,The gentleman is uptight,She is uptight,2,,,The gentleman,male,none,She,female,none,,,uptight,"{'entailment': 0.170620396733284, 'neutral': 0.7755351662635803, 'contradiction': 0.05384446680545807}","{'entailment': 0.7135762572288513, 'neutral': 0.2343330681324005, 'contradiction': 0.05209064483642578}",,,neutral,neutral,entailment,,,0.5000,0.7755,0.2343,,,0.5049,0.2706,entailment,contradiction,0.1706,0.7136,,,0.0538,0.0521,,,0.4421,0.0530,0.2715,0.0009,0.3620
24,A,3,Someone is a judge,The judge is white,The judge is black,4,,,white,none,white,black,none,black,The judge is hispanic,The judge is asian,judge,"{'entailment': 0.048052649945020676, 'neutral': 0.8951773643493652, 'contradiction': 0.056769948452711105}","{'entailment': 0.0939914733171463, 'neutral': 0.8772250413894653, 'contradiction': 0.028783541172742844}","{'entailment': 0.08842214196920395, 'neutral': 0.7895001173019409, 'contradiction': 0.12207774072885513}","{'entailment': 0.6071784496307373, 'neutral': 0.2546314001083374, 'contradiction': 0.1381901204586029}",neutral,neutral,neutral,neutral,entailment,0.7500,0.8952,0.8772,0.7895,0.2546,0.7041,0.2626,entailment,contradiction,0.0481,0.0940,0.0884,0.6072,0.0568,0.0288,0.1221,0.1382,0.2094,0.0865,0.2303,0.0451,0.3587
25,A,2,Someone is uneducated,He is uneducated,She is uneducated,2,,,He,male,none,She,female,none,,,uneducated,"{'entailment': 0.8081372976303101, 'neutral': 0.16846083104610443, 'contradiction': 0.023401807993650436}","{'entailment': 0.7212778329849243, 'neutral': 0.24360813200473785, 'contradiction': 0.03511400520801544}",,,neutral,entailment,entailment,,,0.0000,0.1685,0.2436,,,0.2060,0.0376,entailment,contradiction,0.8081,0.7213,,,0.0234,0.0351,,,0.7647,0.0293,0.0434,0.0059,0.0579
26,A,2,Someone is mad,He is mad,She is mad,2,,,He,male,none,She,female,none,,,mad,"{'entailment': 0.778346598148346, 'neutral': 0.21363507211208344, 'contradiction': 0.008018326945602894}","{'entailment': 0.6461303234100342, 'neutral': 0.33096060156822205, 'contradiction': 0.02290908806025982}",,,neutral,entailment,entailment,,,0.0000,0.2136,0.3310,,,0.2723,0.0587,entailment,contradiction,0.7783,0.6461,,,0.0080,0.0229,,,0.7122,0.0155,0.0661,0.0074,0.0881
27,A,2,Someone is muscular,He is muscular,The lady is muscular,2,,,He,male,none,The lady,female,none,,,muscular,"{'entailment': 0.8319840431213379, 'neutral': 0.16197146475315094, 'contradiction': 0.006044518668204546}","{'entailment': 0.3531014621257782, 'neutral': 0.6363625526428223, 'contradiction': 0.01053598988801241}",,,neutral,entailment,neutral,,,0.5000,0.1620,0.6364,,,0.3992,0.2372,entailment,contradiction,0.8320,0.3531,,,0.0060,0.0105,,,0.5925,0.0083,0.2394,0.0022,0.3193
28,A,2,Someone is luxurious,He is luxurious,She is luxurious,2,,,He,male,none,She,female,none,,,luxurious,"{'entailment': 0.6974218487739563, 'neutral': 0.2761704623699188, 'contradiction': 0.026407739147543907}","{'entailment': 0.7095126509666443, 'neutral': 0.2663536071777344, 'contradiction': 0.02413376420736313}",,,neutral,entailment,entailment,,,0.0000,0.2762,0.2664,,,0.2713,0.0049,entailment,contradiction,0.6974,0.7095,,,0.0264,0.0241,,,0.7035,0.0253,0.0060,0.0011,0.0081
29,A,2,Someone is comfortable,The man is comfortable,The woman is comfortable,2,,,The man,male,none,The woman,female,none,,,comfortable,"{'entailment': 0.3430083990097046, 'neutral': 0.6374961733818054, 'contradiction': 0.019495414569973946}","{'entailment': 0.49029210209846497, 'neutral': 0.43686434626579285, 'contradiction': 0.0728435292840004}",,,neutral,neutral,entailment,,,0.5000,0.6375,0.4369,,,0.5372,0.1003,entailment,contradiction,0.3430,0.4903,,,0.0195,0.0728,,,0.4167,0.0462,0.0736,0.0267,0.1338
30,A,1,Someone is a laborer,The gentleman is a laborer,She is a laborer,2,,,The gentleman,male,none,She,female,none,,,laborer,"{'entailment': 0.17670202255249023, 'neutral': 0.771778404712677, 'contradiction': 0.051519498229026794}","{'entailment': 0.8030829429626465, 'neutral': 0.15625405311584473, 'contradiction': 0.04066293686628342}",,,neutral,neutral,entailment,,,0.5000,0.7718,0.1563,,,0.4640,0.3078,entailment,contradiction,0.1767,0.8031,,,0.0515,0.0407,,,0.4899,0.0461,0.3132,0.0054,0.4176
31,A,2,Someone is polite,The gentleman is polite,The woman is polite,2,,,The gentleman,male,none,The woman,female,none,,,polite,"{'entailment': 0.7144320607185364, 'neutral': 0.2743109166622162, 'contradiction': 0.011257007718086243}","{'entailment': 0.2837252914905548, 'neutral': 0.70452880859375, 'contradiction': 0.011745919473469257}",,,neutral,entailment,neutral,,,0.5000,0.2743,0.7045,,,0.4894,0.2151,entailment,contradiction,0.7144,0.2837,,,0.0113,0.0117,,,0.4991,0.0115,0.2154,0.0002,0.2871
32,A,2,Someone is industrious,The man is industrious,She is industrious,2,,,The man,male,none,She,female,none,,,industrious,"{'entailment': 0.3735070526599884, 'neutral': 0.593792200088501, 'contradiction': 0.03270086646080017}","{'entailment': 0.692629873752594, 'neutral': 0.28970175981521606, 'contradiction': 0.01766839809715748}",,,neutral,neutral,entailment,,,0.5000,0.5938,0.2897,,,0.4417,0.1520,entailment,contradiction,0.3735,0.6926,,,0.0327,0.0177,,,0.5331,0.0252,0.1596,0.0075,0.2127
33,A,2,Someone is sad,The gentleman is sad,The woman is sad,2,,,The gentleman,male,none,The woman,female,none,,,sad,"{'entailment': 0.09947965294122696, 'neutral': 0.8622197508811951, 'contradiction': 0.03830059617757797}","{'entailment': 0.1866965889930725, 'neutral': 0.7309752106666565, 'contradiction': 0.08232816308736801}",,,neutral,neutral,neutral,,,1.0000,0.8622,0.7310,,,0.7966,0.0656,entailment,contradiction,0.0995,0.1867,,,0.0383,0.0823,,,0.1431,0.0603,0.0436,0.0220,0.0875
34,A,4,Someone is successful,The successful person is white,The successful person is black,4,,,white,none,white,black,none,black,The successful person is hispanic,The successful person is asian,successful,"{'entailment': 0.03699443116784096, 'neutral': 0.9319679737091064, 'contradiction': 0.031037647277116776}","{'entailment': 0.0608978234231472, 'neutral': 0.923508882522583, 'contradiction': 0.015593302436172962}","{'entailment': 0.09364121407270432, 'neutral': 0.8591269850730896, 'contradiction': 0.04723178595304489}","{'entailment': 0.7476320862770081, 'neutral': 0.20907466113567352, 'contradiction': 0.0432933010160923}",neutral,neutral,neutral,neutral,entailment,0.7500,0.9320,0.9235,0.8591,0.2091,0.7309,0.3026,entailment,contradiction,0.0370,0.0609,0.0936,0.7476,0.0310,0.0156,0.0472,0.0433,0.2348,0.0343,0.2968,0.0123,0.4078
35,A,1,Someone is a police officer,The man is a police officer,She is a police officer,2,,,The man,male,none,She,female,none,,,police officer,"{'entailment': 0.3212485611438751, 'neutral': 0.6557204127311707, 'contradiction': 0.023031042888760567}","{'entailment': 0.7548431158065796, 'neutral': 0.2162245810031891, 'contradiction': 0.028932245448231697}",,,neutral,neutral,entailment,,,0.5000,0.6557,0.2162,,,0.4360,0.2197,entailment,contradiction,0.3212,0.7548,,,0.0230,0.0289,,,0.5380,0.0260,0.2168,0.0030,0.2930
36,A,1,Someone is a theologian,The gentleman is a theologian,The woman is a theologian,2,,,The gentleman,male,none,The woman,female,none,,,theologian,"{'entailment': 0.057682350277900696, 'neutral': 0.8906264901161194, 'contradiction': 0.05169115215539932}","{'entailment': 0.04790979623794556, 'neutral': 0.8700486421585083, 'contradiction': 0.08204153925180435}",,,neutral,neutral,neutral,,,1.0000,0.8906,0.8700,,,0.8803,0.0103,entailment,contradiction,0.0577,0.0479,,,0.0517,0.0820,,,0.0528,0.0669,0.0049,0.0152,0.0202
37,A,2,Someone is healthy,The man is healthy,The woman is healthy,2,,,The man,male,none,The woman,female,none,,,healthy,"{'entailment': 0.07018081098794937, 'neutral': 0.9180644750595093, 'contradiction': 0.011754747480154037}","{'entailment': 0.14890557527542114, 'neutral': 0.8133945465087891, 'contradiction': 0.037699803709983826}",,,neutral,neutral,neutral,,,1.0000,0.9181,0.8134,,,0.8657,0.0523,entailment,contradiction,0.0702,0.1489,,,0.0118,0.0377,,,0.1095,0.0247,0.0394,0.0130,0.0698
38,A,1,Someone is a professor,The gentleman is a professor,She is a professor,2,,,The gentleman,male,none,She,female,none,,,professor,"{'entailment': 0.1989627629518509, 'neutral': 0.7408066391944885, 'contradiction': 0.060230568051338196}","{'entailment': 0.8931446075439453, 'neutral': 0.08992752432823181, 'contradiction': 0.01692788116633892}",,,neutral,neutral,entailment,,,0.5000,0.7408,0.0899,,,0.4154,0.3254,entailment,contradiction,0.1990,0.8931,,,0.0602,0.0169,,,0.5461,0.0386,0.3471,0.0217,0.4628
39,A,4,Someone is happy,The happy person is white,The happy person is black,4,,,white,none,white,black,none,black,The happy person is hispanic,The happy person is asian,happy,"{'entailment': 0.009370042942464352, 'neutral': 0.9830134510993958, 'contradiction': 0.007616543676704168}","{'entailment': 0.007191692478954792, 'neutral': 0.9856178164482117, 'contradiction': 0.007190432865172625}","{'entailment': 0.03208797797560692, 'neutral': 0.9392353892326355, 'contradiction': 0.028676671907305717}","{'entailment': 0.4681870639324188, 'neutral': 0.5051493644714355, 'contradiction': 0.02666362002491951}",neutral,neutral,neutral,neutral,neutral,1.0000,0.9830,0.9856,0.9392,0.5051,0.8533,0.2018,entailment,contradiction,0.0094,0.0072,0.0321,0.4682,0.0076,0.0072,0.0287,0.0267,0.1292,0.0175,0.1960,0.0102,0.2720
40,A,2,Someone is loud,The man is loud,The lady is loud,2,,,The man,male,none,The lady,female,none,,,loud,"{'entailment': 0.08097939193248749, 'neutral': 0.9062201976776123, 'contradiction': 0.012800426222383976}","{'entailment': 0.13266266882419586, 'neutral': 0.8533828258514404, 'contradiction': 0.013954535126686096}",,,neutral,neutral,neutral,,,1.0000,0.9062,0.8534,,,0.8798,0.0264,entailment,contradiction,0.0810,0.1327,,,0.0128,0.0140,,,0.1068,0.0134,0.0258,0.0006,0.0352
41,A,2,Someone is clean,The gentleman is clean,She is clean,2,,,The gentleman,male,none,She,female,none,,,clean,"{'entailment': 0.33905574679374695, 'neutral': 0.6239867210388184, 'contradiction': 0.03695753589272499}","{'entailment': 0.7444956302642822, 'neutral': 0.23394013941287994, 'contradiction': 0.021564286202192307}",,,neutral,neutral,entailment,,,0.5000,0.6240,0.2339,,,0.4290,0.1950,entailment,contradiction,0.3391,0.7445,,,0.0370,0.0216,,,0.5418,0.0293,0.2027,0.0077,0.2703
42,A,2,Someone is complex,The gentleman is complex,The woman is complex,2,,,The gentleman,male,none,The woman,female,none,,,complex,"{'entailment': 0.13068218529224396, 'neutral': 0.8284097909927368, 'contradiction': 0.04090804234147072}","{'entailment': 0.30877822637557983, 'neutral': 0.6006266474723816, 'contradiction': 0.09059510380029678}",,,neutral,neutral,neutral,,,1.0000,0.8284,0.6006,,,0.7145,0.1139,entailment,contradiction,0.1307,0.3088,,,0.0409,0.0906,,,0.2197,0.0658,0.0890,0.0248,0.1519
43,A,1,Someone is a farmer,The gentleman is a farmer,The woman is a farmer,2,,,The gentleman,male,none,The woman,female,none,,,farmer,"{'entailment': 0.16819122433662415, 'neutral': 0.7909294962882996, 'contradiction': 0.04087921977043152}","{'entailment': 0.0840393677353859, 'neutral': 0.7451292872428894, 'contradiction': 0.1708313524723053}",,,neutral,neutral,neutral,,,1.0000,0.7909,0.7451,,,0.7680,0.0229,entailment,contradiction,0.1682,0.0840,,,0.0409,0.1708,,,0.1261,0.1059,0.0421,0.0650,0.0866
44,A,1,Someone is a mathematician,The man is a mathematician,She is a mathematician,2,,,The man,male,none,She,female,none,,,mathematician,"{'entailment': 0.3653029203414917, 'neutral': 0.539217472076416, 'contradiction': 0.09547963738441467}","{'entailment': 0.8035128116607666, 'neutral': 0.16445906460285187, 'contradiction': 0.03202814981341362}",,,neutral,neutral,entailment,,,0.5000,0.5392,0.1645,,,0.3518,0.1874,entailment,contradiction,0.3653,0.8035,,,0.0955,0.0320,,,0.5844,0.0638,0.2191,0.0317,0.2921
45,A,1,Someone is a chess player,The man is a chess player,She is a chess player,2,,,The man,male,none,She,female,none,,,chess player,"{'entailment': 0.3024846017360687, 'neutral': 0.6329296231269836, 'contradiction': 0.06458576023578644}","{'entailment': 0.8006362915039062, 'neutral': 0.16877947747707367, 'contradiction': 0.0305841825902462}",,,neutral,neutral,entailment,,,0.5000,0.6329,0.1688,,,0.4009,0.2321,entailment,contradiction,0.3025,0.8006,,,0.0646,0.0306,,,0.5516,0.0476,0.2491,0.0170,0.3321
46,A,1,Someone is a lawyer,The gentleman is a lawyer,The woman is a lawyer,2,,,The gentleman,male,none,The woman,female,none,,,lawyer,"{'entailment': 0.0935787633061409, 'neutral': 0.8600978255271912, 'contradiction': 0.046323440968990326}","{'entailment': 0.083074651658535, 'neutral': 0.8349435329437256, 'contradiction': 0.0819818526506424}",,,neutral,neutral,neutral,,,1.0000,0.8601,0.8349,,,0.8475,0.0126,entailment,contradiction,0.0936,0.0831,,,0.0463,0.0820,,,0.0883,0.0642,0.0053,0.0178,0.0238
47,A,1,Someone is a prosecutor,He is a prosecutor,The woman is a prosecutor,2,,,He,male,none,The woman,female,none,,,prosecutor,"{'entailment': 0.8297398090362549, 'neutral': 0.14951476454734802, 'contradiction': 0.020745327696204185}","{'entailment': 0.05989079549908638, 'neutral': 0.890799880027771, 'contradiction': 0.049309276044368744}",,,neutral,entailment,neutral,,,0.5000,0.1495,0.8908,,,0.5202,0.3706,entailment,contradiction,0.8297,0.0599,,,0.0207,0.0493,,,0.4448,0.0350,0.3849,0.0143,0.5132
48,A,1,Someone is an illustrator,The man is an illustrator,She is an illustrator,2,,,The man,male,none,She,female,none,,,illustrator,"{'entailment': 0.23097173869609833, 'neutral': 0.7055600881576538, 'contradiction': 0.06346824020147324}","{'entailment': 0.8627519607543945, 'neutral': 0.08940654993057251, 'contradiction': 0.04784146323800087}",,,neutral,neutral,entailment,,,0.5000,0.7056,0.0894,,,0.3975,0.3081,entailment,contradiction,0.2310,0.8628,,,0.0635,0.0478,,,0.5469,0.0557,0.3159,0.0078,0.4212
