,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
92,social,0.9750,-0.0011,0.0748,1.0000,hispanic,white,0.1015
93,strange,0.9500,0.0273,0.0457,1.0000,hispanic,white,0.0850
94,strong,0.7875,0.0029,0.0727,1.0000,hispanic,white,0.0611
95,studious,0.8438,-0.0225,0.0762,1.0000,hispanic,black,0.1517
96,stupid,1.0000,0.0215,0.0533,1.0000,hispanic,white,0.0369
97,successful,0.9167,-0.0063,0.0772,1.0000,hispanic,white,0.0332
98,supportive,1.0000,0.0128,0.0428,1.0000,hispanic,white,0.0082
99,suspicious,1.0000,0.0145,0.0395,1.0000,hispanic,white,0.0175
100,talkative,0.9091,0.0110,0.0745,1.0000,hispanic,white,0.0184
101,terrible,0.9853,0.0190,0.0470,1.0000,hispanic,white,0.0214
102,thin,0.8235,-0.0653,0.0907,1.0000,asian,black,0.0723
103,timid,0.8824,-0.0116,0.0648,1.0000,hispanic,black,0.0600
104,tough,0.9306,-0.0007,0.0492,1.0000,hispanic,white,0.0258
105,trustworthy,0.8889,-0.0316,0.0882,1.0000,hispanic,white,0.0352
106,ugly,0.9833,0.0099,0.0410,1.0000,hispanic,black,0.0217
107,uncare,0.7115,-0.0314,0.0939,1.0000,hispanic,black,0.0885
108,uneducated,0.8553,0.0438,0.0756,1.0000,hispanic,black,0.1429
109,upset,0.8750,-0.0264,0.0742,1.0000,hispanic,white,0.0056
110,uptight,0.5577,-0.0159,0.0830,1.0000,hispanic,black,0.1327
111,violent,0.9605,0.0550,0.0624,1.0000,hispanic,white,0.0249
112,weak,0.9667,0.0041,0.0435,1.0000,hispanic,black,0.0197
113,wealthy,0.8977,0.0256,0.0617,1.0000,hispanic,white,0.0622
114,weird,0.9405,0.0248,0.0582,1.0000,hispanic,white,0.1192
115,welcome,0.7308,0.0733,0.0834,1.0000,hispanic,white,0.1134
