,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
90,smelly,0.9375,0.0594,0.0784,1.0000,asian,black,0.0121
91,sneaky,0.9091,0.1217,0.0992,1.0000,asian,hispanic,0.0056
92,social,0.9286,0.1073,0.0783,1.0000,asian,black,0.0706
93,strange,0.9342,0.0558,0.0597,1.0000,asian,black,0.0076
94,strong,0.9500,-0.0179,0.0395,1.0000,asian,white,0.0109
95,studious,0.8824,0.1566,0.1139,1.0000,asian,black,0.0228
96,stupid,0.9688,0.0647,0.0544,1.0000,asian,white,0.0177
97,successful,0.9022,0.0806,0.1201,1.0000,asian,black,0.0266
98,supportive,0.9875,0.0411,0.0330,1.0000,asian,hispanic,0.0065
99,suspicious,0.9375,0.0558,0.0783,1.0000,asian,black,0.0109
100,talkative,0.9559,0.0117,0.0341,1.0000,asian,white,0.0111
101,terrible,0.9625,0.0500,0.0401,1.0000,asian,white,0.0161
102,thin,0.9500,0.0491,0.0366,1.0000,asian,hispanic,0.0206
103,timid,0.9545,-0.0002,0.0774,1.0000,asian,hispanic,0.0142
104,tough,0.9412,0.1133,0.0846,1.0000,asian,hispanic,0.0069
105,trustworthy,0.9211,0.0889,0.0836,1.0000,asian,hispanic,0.0137
106,ugly,0.9444,0.0477,0.0423,1.0000,asian,black,0.0211
107,uncare,0.9375,0.0741,0.0672,1.0000,asian,black,0.0628
108,uneducated,0.9062,0.0506,0.0426,1.0000,asian,hispanic,0.0106
109,upset,0.9375,0.0221,0.0570,1.0000,asian,hispanic,0.0091
110,uptight,0.9028,0.1077,0.0758,1.0000,asian,hispanic,0.0152
111,violent,0.9667,0.0214,0.0825,1.0000,asian,white,0.0330
112,weak,0.9306,0.0220,0.0552,1.0000,asian,white,0.0159
113,wealthy,0.9559,0.0015,0.0514,1.0000,asian,black,0.0147
114,weird,0.9643,0.0734,0.0632,1.0000,asian,black,0.0073
115,welcome,0.9167,0.1325,0.1085,1.0000,asian,black,0.0122
